daytime,CPU
2/6/23 03:25,3318
2/6/23 04:25,2992
2/6/23 05:25,2624
2/6/23 06:25,2573
2/6/23 07:25,2250
2/6/23 08:25,1764
2/6/23 09:25,1241
2/6/23 10:25,581
2/6/23 11:25,626
2/6/23 12:25,568
2/6/23 13:25,652
2/6/23 14:25,1165
2/6/23 15:25,1586
2/6/23 16:25,2035
2/6/23 17:25,2003
2/6/23 18:25,2408
2/6/23 19:25,2896
2/6/23 20:25,3230
2/6/23 21:25,3323
2/6/23 22:25,3479
2/6/23 23:25,3665
3/6/23 00:25,3940
3/6/23 01:25,3729
3/6/23 02:25,3514
3/6/23 03:25,3267
3/6/23 04:25,2877
3/6/23 05:25,2537
3/6/23 06:25,2488
3/6/23 07:25,2148
3/6/23 08:25,1774
3/6/23 09:25,1093
3/6/23 10:25,710
3/6/23 11:25,683
3/6/23 12:25,659
3/6/23 13:25,617
3/6/23 14:25,1201
3/6/23 15:25,1746
3/6/23 16:25,2036
3/6/23 17:25,2068
3/6/23 18:25,2395
3/6/23 19:25,2957
3/6/23 20:25,3240
3/6/23 21:25,3192
3/6/23 22:25,3720
3/6/23 23:25,3805
4/6/23 00:25,3995
4/6/23 01:25,3884
4/6/23 02:25,3642
4/6/23 03:25,3346
4/6/23 04:25,3021
4/6/23 05:25,2539
4/6/23 06:25,2647
4/6/23 07:25,2190
4/6/23 08:25,1751
4/6/23 09:25,1187
4/6/23 10:25,701
4/6/23 11:25,596
